1.039001275310523852e+04,5.645267270071261009e+03,5.800359972678019403e+03,5.693182481400074721e+03,7.271976139560916636e+03,8.688767273631844728e+04
1.017197527642303976e+04,5.621264660512143564e+03,5.829547136494456026e+03,5.711540494570907867e+03,6.892273811504840523e+03,8.336514436706031847e+04
9.853550968017039850e+03,5.494356642258127977e+03,5.714157457212970257e+03,5.594770675746432971e+03,6.830765686856291723e+03,8.292150356647897570e+04
9.536951967685039563e+03,5.352576524729396624e+03,5.570530674354839903e+03,5.453650804108733610e+03,6.851947043324516017e+03,8.330350043214506877e+04
9.241578150014891435e+03,5.214956388211816375e+03,5.424399617091723485e+03,5.312284674808621276e+03,6.909844358631392424e+03,8.401932305851705314e+04
8.971847405115939182e+03,5.087042964818968358e+03,5.284309846755867511e+03,5.178054283932871840e+03,6.989069721162354654e+03,8.489894793774774007e+04
8.727436311796011069e+03,4.970437372772404160e+03,5.153217267977094707e+03,5.053351086982439483e+03,7.082859632243830674e+03,8.586800196497388242e+04
8.507294735119752659e+03,4.865151113085292309e+03,5.031975160395399143e+03,4.938742241548058701e+03,7.187647730052643965e+03,8.688881281573683373e+04
8.309194254635698599e+03,4.770903263939212593e+03,4.920762684448130130e+03,4.833960399962756128e+03,7.301420862763055084e+03,8.794050471307993575e+04
8.131323894904183362e+03,4.686895784049827853e+03,4.819063142118073301e+03,4.738740108316249461e+03,7.422727515681503064e+03,8.901018715429307485e+04
