1.971288714346581401e+04,7.943758630652347165e+03,6.105908888499653585e+03,5.760853049628017288e+03,5.007826816038171273e+03,4.845039066798441127e+03,4.672300896009436656e+03,4.489339533026068239e+03,4.457576289118715067e+03,4.386722252612922603e+03
6.287756765006673231e+04,9.885403929307121871e+03,7.092274390642915023e+03,6.725532026170501922e+03,5.629198065528395091e+03,5.496797275008071665e+03,5.220341730938236651e+03,4.853571939978143746e+03,4.810402390200791160e+03,4.706125948854961280e+03
1.246251494879401871e+05,1.142715575223591804e+04,7.987147918770011529e+03,7.638384922421596457e+03,6.195268111360491275e+03,6.063838668638346462e+03,5.727200128069272068e+03,5.171698200160751185e+03,5.117249078089996146e+03,4.988908238312156755e+03
1.977862024236204161e+05,1.285299387132155061e+04,8.864551175943264752e+03,8.586423278939961165e+03,6.759479647848971581e+03,6.596984981350428825e+03,6.217931439065643644e+03,5.471044685538648991e+03,5.404794182256442582e+03,5.253890941457358167e+03
2.786689392147584585e+05,1.426409449317085637e+04,9.743734730112546458e+03,9.601243002072973468e+03,7.337332669337139123e+03,7.117024351859544367e+03,6.701948679614991306e+03,5.762689577105379612e+03,5.684318553045782210e+03,5.510297907960507473e+03
3.635812252839053981e+05,1.570378072802066708e+04,1.063179617549861905e+04,1.069677898422427279e+04,7.935771483959039870e+03,7.633912104041497514e+03,7.183541877013553858e+03,6.051748784509760299e+03,5.960956551648158893e+03,5.762637771916821293e+03
4.493132375859587919e+05,1.719088033836121758e+04,1.153194989234861714e+04,1.187929054913778600e+04,8.558580115838372876e+03,8.152926563536258982e+03,7.664874265525199007e+03,6.340819729289376482e+03,6.237239864610242876e+03,6.013276083869510330e+03
5.335375250674369745e+05,1.873202350853451208e+04,1.244611347904801005e+04,1.315253181346242854e+04,9.208126920486174640e+03,8.677269197591278498e+03,8.147170177027846876e+03,6.631325932483968245e+03,6.514464121796790096e+03,6.263453117108605511e+03
6.148930606555552222e+05,2.032627280936910756e+04,1.337578972227282429e+04,1.451979418878270917e+04,9.885991439444045682e+03,9.208870343502527248e+03,8.631221477495815634e+03,6.924050266852025743e+03,6.793297076367360205e+03,6.513826192305455152e+03
6.924803365748509532e+05,2.197063282938995326e+04,1.432144167678318263e+04,1.598483048926538140e+04,1.059335143261498160e+04,9.748972474770600456e+03,9.117435240729910220e+03,7.219470430289324213e+03,7.074072658363961636e+03,6.764765069692268298e+03
