1.054655565214682611e+04,5.645267270071264647e+03,5.800359972678019403e+03,5.693182481400074721e+03,inf,inf
1.031387598153582258e+04,5.621264660512145383e+03,5.829547136494456026e+03,5.711540494570907867e+03,inf,inf
1.003657899725473544e+04,5.494356642258131615e+03,5.714157457212970257e+03,5.594770675746432971e+03,inf,inf
9.824901162924923483e+03,5.352576524729400262e+03,5.570530674354839903e+03,5.453650804108733610e+03,inf,inf
9.818132921859390990e+03,5.214956388211821832e+03,5.424399617091723485e+03,5.312284674808621276e+03,inf,inf
1.084530042548367055e+04,5.087042964818974724e+03,5.284309846755867511e+03,5.178054283932871840e+03,inf,inf
2.358398854739834496e+04,4.970437372772420531e+03,5.153217267977094707e+03,5.053351086982439483e+03,inf,inf
2.507239923237935873e+05,4.865151113085330508e+03,5.031975160395399143e+03,4.938742241548058701e+03,inf,inf
4.852595579898959026e+06,4.770903263939300814e+03,4.920762684448130130e+03,4.833960399962756128e+03,inf,inf
5.783399011350785941e+07,4.686895784050028851e+03,4.819063142118073301e+03,4.738740108316249461e+03,inf,inf
